순번,하수처리시설명,수질등록일자,날씨,기온(℃),수온,유입수BOD(mg/L),유입수COD(mg/L),유입수SS(mg/L),유입수TN(mg/L),유입수TP(mg/L),유입수대장균수(개/ml),유입량(m3/d),방류수BOD(mg/L),방류수COD(mg/L),방류수SS(mg/L),방류수TN(mg/L),방류수TP(mg/L),방류수대장균수(개/ml),방류량(m3/d)
244,능곡하수처리시설,2019-05-01,흐림,19,20.8,288.6,100.7,150.0,57.879,7.140,"11,000","4,932",3.0,9.7,1.9,2.851,0.533,150,"4,178"
243,능곡하수처리시설,2019-05-02,맑음,22,20.8,489.0,90.9,337.5,73.509,8.851,"154,000","4,338",4.1,12.9,2.1,2.058,0.646,40,"3,930"
242,능곡하수처리시설,2019-05-03,흐림,22,20.3,282.6,82.6,135.0,51.809,5.812,"33,000","4,763",2.0,8.5,1.4,1.862,0.491,220,"4,012"
241,능곡하수처리시설,2019-05-04,흐림,22,20.3,226.2,101.1,235.0,26.461,2.690,"33,000","5,666",3.3,12.5,2.1,2.695,0.830,110,"5,468"
240,능곡하수처리시설,2019-05-05,흐림,23,20.9,268.8,76.8,282.5,38.929,3.751,"33,000","4,591",4.5,10.3,2.3,3.539,0.728,70,"4,401"
239,능곡하수처리시설,2019-05-06,맑음,18,20,295.8,96.7,265.0,90.082,8.574,"104,500","4,733",3.4,8.6,1.9,2.248,1.148,330,"3,551"
238,능곡하수처리시설,2019-05-07,흐림,18,20.4,291.6,84.9,177.5,59.390,6.037,"22,000","4,927",3.3,7.7,2.0,3.322,0.916,200,"4,244"
237,능곡하수처리시설,2019-05-08,흐림,17,20.6,242.4,97.9,170.0,60.903,5.185,"198,000","4,327",3.5,9.9,2.2,4.149,0.738,260,"4,142"
236,능곡하수처리시설,2019-05-09,흐림,18,21.1,279.6,92.1,470.0,48.717,6.094,"88,000","4,536",6.2,8.5,2.4,2.689,0.749,260,"3,797"
235,능곡하수처리시설,2019-05-10,흐림,21,21.3,327.0,92.9,607.5,67.010,7.622,"110,000","4,541",8.7,8.9,1.9,3.295,0.782,220,"4,124"
234,능곡하수처리시설,2019-05-11,흐림,23,21.6,282.6,77.4,200.0,56.876,4.096,"143,000","4,536",3.3,9.7,2.1,6.962,0.812,310,"4,225"
233,능곡하수처리시설,2019-05-12,흐림,24,21.5,335.4,84.7,157.5,68.936,5.211,"99,000","4,784",2.4,9.4,2.8,3.083,0.880,40,"4,178"
232,능곡하수처리시설,2019-05-13,비,21,21.3,427.2,100.9,177.5,67.730,5.789,"110,000","4,346",5.2,11.3,2.3,6.311,0.787,290,"3,837"
231,능곡하수처리시설,2019-05-14,흐림,24,22,315.0,99.9,395.0,69.008,7.292,"176,000","4,665",4.4,9.1,2.1,3.004,0.669,150,"4,304"
230,능곡하수처리시설,2019-05-15,흐림,24,21.9,369.0,96.5,135.0,39.887,5.894,"143,000","4,647",5.8,9.7,2.2,2.326,0.565,180,"4,226"
229,능곡하수처리시설,2019-05-16,흐림,27,22.2,318.0,90.3,147.5,45.329,5.638,"22,000","4,694",5.0,8.4,2.2,2.392,0.588,150,"4,259"
228,능곡하수처리시설,2019-05-17,흐림,26,22,262.2,84.5,160.0,54.413,5.623,"22,000","4,413",3.6,7.1,2.6,2.201,0.586,200,"3,975"
227,능곡하수처리시설,2019-05-18,비,25,22.1,309.0,132.0,267.5,54.019,8.663,"143,000","4,572",2.5,12.9,1.6,1.721,0.160,130,"4,192"
226,능곡하수처리시설,2019-05-19,비,21,22.4,399.0,94.9,140.0,50.222,4.632,"176,000","4,933",6.2,7.4,2.2,3.366,0.856,220,"4,510"
225,능곡하수처리시설,2019-05-20,비,20,22.2,217.2,95.9,120.0,52.198,4.915,"88,000","4,523",5.0,9.3,1.6,2.365,0.561,220,"4,129"
224,능곡하수처리시설,2019-05-21,흐림,21,22.4,408.0,102.5,197.5,59.410,6.214,"165,000","4,498",3.9,10.4,1.8,2.002,0.491,150,"4,154"
223,능곡하수처리시설,2019-05-22,흐림,22,22,228.6,79.0,242.5,42.159,4.512,"44,000","4,586",2.8,8.8,1.5,1.965,0.339,180,"4,159"
222,능곡하수처리시설,2019-05-23,흐림,25,22.5,225.6,112.9,182.5,53.554,5.291,"99,000","4,512",2.6,9.8,1.7,2.275,0.187,40,"4,209"
221,능곡하수처리시설,2019-05-24,흐림,28,23,376.8,108.7,107.5,45.427,5.267,"77,000","4,634",3.0,8.5,1.8,1.898,0.262,110,"4,115"
220,능곡하수처리시설,2019-05-25,흐림,25,22.1,192.0,94.3,105.0,63.164,6.112,"110,000","4,368",5.4,10.1,1.6,2.202,0.294,260,"3,887"
219,능곡하수처리시설,2019-05-26,맑음,27,22.4,286.8,82.4,147.5,57.660,6.026,"88,000","5,067",5.4,7.2,2.2,1.971,0.222,130,"4,419"
218,능곡하수처리시설,2019-05-27,비,22,23.5,391.8,99.1,162.5,69.540,6.195,"154,000","4,936",6.3,9.7,1.7,1.796,0.366,150,"4,230"
217,능곡하수처리시설,2019-05-28,맑음,21,23.3,280.2,98.1,122.5,50.737,5.066,"33,000","4,220",3.2,9.5,1.0,1.695,0.342,110,"4,029"
216,능곡하수처리시설,2019-05-29,흐림,22,23.2,503.4,110.9,132.5,76.896,6.955,"220,000","4,470",3.7,9.2,1.3,2.246,0.356,180,"3,997"
215,능곡하수처리시설,2019-05-30,비,22,23.1,192.6,93.5,107.5,50.296,4.714,"22,000","4,637",1.7,9.6,1.3,2.342,0.212,200,"4,205"
214,능곡하수처리시설,2019-05-31,맑음,21,22.7,213.0,126.2,175.0,44.061,4.881,"88,000","4,536",2.2,8.7,1.7,1.938,0.464,90,"4,053"
213,능곡하수처리시설,2019-06-01,흐림,20,22.8,310.8,90.5,140.0,44.203,4.941,"187,000","4,417",4.0,9.1,1.8,1.482,0.438,180,"4,110"
212,능곡하수처리시설,2019-06-02,흐림,24,22.9,348.0,82.0,132.5,54.796,4.096,"88,000","4,686",6.9,8.9,2.3,2.136,0.360,70,"4,159"
211,능곡하수처리시설,2019-06-03,맑음,27,23.2,439.2,93.3,197.5,52.927,4.632,"66,000","4,999",5.2,9.0,2.0,2.242,0.449,150,"3,800"
210,능곡하수처리시설,2019-06-04,흐림,25,23.6,231.6,98.7,220.0,69.286,6.499,"220,000","4,898",6.2,10.0,2.8,2.398,0.566,350,"3,907"
209,능곡하수처리시설,2019-06-05,흐림,23,23.4,256.2,98.1,157.5,46.996,4.408,"22,000","4,589",2.8,8.7,1.5,2.654,0.227,180,"4,446"
208,능곡하수처리시설,2019-06-06,비,22,23.2,531.6,95.9,282.5,45.118,5.164,"66,000","4,416",3.9,11.5,0.9,1.329,0.369,150,"3,797"
207,능곡하수처리시설,2019-06-07,비,24,23.3,340.2,109.1,197.5,46.901,6.245,"143,000","5,035",4.3,10.6,1.7,2.696,0.228,130,"4,727"
206,능곡하수처리시설,2019-06-08,흐림,25,23.1,400.2,87.7,175.0,53.094,4.083,"99,000","4,675",5.9,11.3,2.6,3.392,0.352,150,"4,070"
205,능곡하수처리시설,2019-06-09,비,24,23.5,298.2,91.1,185.0,80.069,6.931,"121,000","4,514",5.3,9.8,1.7,2.717,1.065,180,"4,100"
204,능곡하수처리시설,2019-06-10,비,23,23.4,355.8,104.3,165.0,47.462,3.688,"44,000","4,702",3.9,11.1,2.1,3.238,0.874,220,"4,091"
203,능곡하수처리시설,2019-06-11,맑음,24,24,216.0,91.9,110.0,46.496,5.093,"154,000","4,629",4.7,9.2,1.6,1.999,0.807,180,"4,158"
202,능곡하수처리시설,2019-06-12,흐림,24,24,253.2,100.3,107.5,56.634,4.900,"143,000","4,735",3.1,11.2,2.5,2.004,0.716,110,"4,081"
201,능곡하수처리시설,2019-06-13,흐림,27,24.1,271.2,97.1,262.5,27.572,6.889,"22,000","4,409",3.4,9.5,2.0,1.742,0.645,90,"4,143"
200,능곡하수처리시설,2019-06-14,흐림,27,23.8,349.8,124.2,222.5,68.343,7.060,"66,000","4,506",4.0,10.6,1.9,2.177,0.564,90,"4,239"
199,능곡하수처리시설,2019-06-15,흐림,25,24.1,410.4,96.5,152.5,38.081,3.963,"110,000","4,829",3.3,9.5,1.9,1.105,0.574,70,"3,960"
198,능곡하수처리시설,2019-06-16,맑음,25,24.2,355.8,109.5,205.0,24.224,3.407,"121,000","4,753",3.9,8.8,1.9,2.376,0.471,70,"4,061"
197,능곡하수처리시설,2019-06-17,비,23,24.2,288.6,102.7,215.0,57.058,4.819,"132,000","4,712",6.3,9.9,2.6,2.292,0.514,350,"4,532"
196,능곡하수처리시설,2019-06-18,비,24,24.5,251.4,112.7,140.0,69.376,6.615,"154,000","4,525",2.9,10.8,2.1,1.597,0.612,180,"3,925"
195,능곡하수처리시설,2019-06-19,비,25,24.3,224.4,100.5,120.0,110.404,4.720,"165,000","4,673",3.6,9.5,2.2,1.651,0.554,160,"4,145"
194,능곡하수처리시설,2019-06-20,흐림,26,25,299.4,118.4,292.5,74.743,6.982,"220,000","4,701",2.8,9.6,1.2,2.239,0.469,180,"3,835"
193,능곡하수처리시설,2019-06-21,흐림,25,25,333.0,102.3,220.0,73.359,6.495,"121,000","4,387",2.0,8.6,2.4,1.508,0.452,220,"4,335"
192,능곡하수처리시설,2019-06-22,맑음,28,25,183.6,94.9,120.0,71.068,6.940,"88,000","4,269",2.8,8.3,2.2,1.137,0.206,180,"4,247"
191,능곡하수처리시설,2019-06-23,맑음,29,25.2,303.0,91.7,382.5,91.811,6.445,"176,000","4,990",2.4,13.0,1.4,1.393,0.535,180,"3,988"
190,능곡하수처리시설,2019-06-24,맑음,26,25,277.2,108.7,125.0,54.664,5.845,"165,000","4,536",4.2,9.7,2.8,1.907,0.557,290,"4,160"
189,능곡하수처리시설,2019-06-25,흐림,29,25.1,276.0,109.5,117.5,42.078,5.127,"121,000","5,384",5.8,10.0,1.9,1.853,0.525,150,"4,370"
188,능곡하수처리시설,2019-06-26,비,28,24.3,238.2,99.7,200.0,49.440,6.084,"220,000","4,872",2.6,9.9,2.4,1.573,0.453,180,"4,482"
187,능곡하수처리시설,2019-06-27,비,27,24.7,230.4,108.3,115.0,39.387,4.668,"77,000","4,807",3.2,10.6,1.5,1.525,0.428,200,"3,846"
186,능곡하수처리시설,2019-06-28,비,27,24.3,228.6,107.9,230.0,77.112,5.076,"132,000","4,989",2.7,10.7,1.8,2.109,0.638,130,"4,237"
185,능곡하수처리시설,2019-06-29,비,26,25.1,234.0,106.1,137.5,29.034,7.519,"154,000","4,421",5.4,9.7,2.6,1.303,0.307,290,"4,102"
184,능곡하수처리시설,2019-06-30,비,24,25.4,313.2,101.3,210.0,32.173,6.829,"143,000","4,389",2.8,11.7,1.7,1.347,0.316,200,"4,057"
183,능곡하수처리시설,2019-07-01,맑음,22.3,25.5,224.4,116.1,150.0,31.545,7.066,"110,000","5,100",1.9,10.4,1.3,1.359,0.299,260,"4,344"
182,능곡하수처리시설,2019-07-02,맑음,22.7,25.4,212.4,94.1,187.5,53.487,3.323,"220,000","4,561",3.0,10.3,1.7,1.426,0.436,150,"4,084"
181,능곡하수처리시설,2019-07-03,맑음,22.3,25.8,258.6,92.7,125.0,40.261,4.830,"121,000","5,593",1.8,6.9,1.7,1.360,1.160,150,"4,418"
180,능곡하수처리시설,2019-07-04,맑음,22.8,25.7,221.4,81.0,110.0,44.460,4.498,"165,000","4,927",2.6,7.4,1.2,1.728,0.400,150,"4,340"
179,능곡하수처리시설,2019-07-05,맑음,25.1,25.1,394.8,93.5,137.5,67.369,7.581,"121,000","4,513",3.8,8.6,1.3,1.669,0.367,130,"4,712"
178,능곡하수처리시설,2019-07-06,맑음,28.6,26.4,242.4,78.6,220.0,38.765,3.590,"176,000","4,799",7.8,9.7,3.2,1.854,0.483,150,"4,204"
177,능곡하수처리시설,2019-07-07,맑음,27,25.8,309.6,83.2,137.5,42.847,3.743,"198,000","5,277",4.0,9.5,1.8,1.912,0.407,150,"4,205"
176,능곡하수처리시설,2019-07-08,맑음,25.6,26.4,183.6,87.3,162.5,55.093,4.222,"132,000","5,169",3.3,10.0,2.3,1.970,0.411,130,"4,162"
175,능곡하수처리시설,2019-07-09,맑음,25.1,25.8,268.8,87.3,192.5,62.312,5.052,"132,000","4,465",3.8,9.2,2.1,1.787,0.531,180,"4,255"
174,능곡하수처리시설,2019-07-10,비,22.8,26.2,365.4,111.7,222.5,62.269,5.046,"143,000","4,836",3.6,9.9,2.2,2.108,0.417,130,"4,143"
173,능곡하수처리시설,2019-07-11,비,21,26.1,234.0,90.3,102.5,27.284,5.031,"121,000","5,047",3.1,8.5,1.9,1.175,0.464,180,"4,349"
172,능곡하수처리시설,2019-07-12,맑음,22.7,25.9,223.8,98.5,197.5,58.128,5.808,"154,000","5,103",5.1,10.0,2.0,1.833,0.289,200,"4,377"
171,능곡하수처리시설,2019-07-13,비,23.1,26,273.6,97.3,150.0,58.835,3.408,"99,000","4,841",3.1,9.4,1.3,1.773,0.487,220,"3,976"
170,능곡하수처리시설,2019-07-14,맑음,24.3,26.7,337.2,89.5,170.0,39.551,4.575,"132,000","5,019",6.2,12.8,2.1,1.594,0.428,240,"4,259"
169,능곡하수처리시설,2019-07-15,비,24,26.4,257.4,90.9,227.5,66.042,5.673,"132,000","5,175",3.0,10.5,2.6,1.675,0.449,200,"4,503"
168,능곡하수처리시설,2019-07-16,비,24.3,26.3,314.4,104.5,155.0,78.973,6.988,"132,000","4,982",2.7,10.2,1.1,2.414,0.205,150,"4,157"
167,능곡하수처리시설,2019-07-17,맑음,25.1,26.6,237.0,86.5,92.5,48.460,5.350,"154,000","4,970",5.2,8.1,1.4,1.866,0.362,240,"4,285"
166,능곡하수처리시설,2019-07-18,비,25.8,26.5,336.0,107.9,117.5,61.789,6.792,"165,000","5,121",4.6,10.8,2.0,1.920,0.386,220,"4,231"
165,능곡하수처리시설,2019-07-19,비,28.1,26.4,361.2,91.1,125.0,49.776,5.325,"165,000","5,173",4.5,8.6,1.8,2.053,0.439,200,"4,472"
164,능곡하수처리시설,2019-07-20,비,27.8,26.2,253.8,94.7,180.0,64.258,4.975,"132,000","5,081",2.4,8.2,1.5,1.925,0.469,150,"4,619"
163,능곡하수처리시설,2019-07-21,비,24.6,26.3,236.4,93.3,177.5,62.626,5.352,"132,000","4,700",2.9,7.5,1.4,1.918,0.424,220,"3,885"
162,능곡하수처리시설,2019-07-22,맑음,24.9,26.3,274.8,113.1,117.5,61.152,5.825,"132,000","4,837",6.7,11.7,2.2,2.407,0.543,200,"4,272"
161,능곡하수처리시설,2019-07-23,비,26.5,26.9,384.0,102.5,220.0,53.714,6.188,"110,000","5,546",5.4,9.0,2.8,2.347,0.370,130,"4,852"
160,능곡하수처리시설,2019-07-24,비,25.5,26.4,231.6,111.9,80.0,36.000,5.476,"110,000","5,347",2.7,11.3,1.8,1.691,0.460,150,"4,630"
159,능곡하수처리시설,2019-07-25,비,25.5,26.6,300.0,82.4,112.5,59.126,5.164,"110,000","4,307",3.1,9.0,2.0,2.210,0.359,150,"3,817"
158,능곡하수처리시설,2019-07-26,비,24.4,25.9,101.4,62.0,195.0,32.375,1.745,"88,000","6,254",7.7,10.7,2.1,1.797,0.371,110,"5,913"
157,능곡하수처리시설,2019-07-27,비,27.2,26.3,163.8,69.8,132.5,31.754,4.908,"66,000","5,036",5.4,10.8,2.9,2.038,0.485,220,"4,311"
156,능곡하수처리시설,2019-07-28,비,25.5,26.9,339.0,83.1,125.0,32.059,3.381,"77,000","5,644",6.9,11.6,3.9,2.599,0.445,260,"4,501"
155,능곡하수처리시설,2019-07-29,비,26.8,26.9,321.6,124.8,115.0,43.641,5.745,"110,000","5,202",2.9,9.2,2.0,1.648,0.612,240,"4,433"
154,능곡하수처리시설,2019-07-30,비,27.1,27.1,382.8,99.7,100.0,91.474,6.039,"143,000","5,317",3.5,10.3,2.6,1.921,0.494,200,"4,375"
153,능곡하수처리시설,2019-07-31,비,25,26.6,211.8,65.8,100.0,22.745,3.668,"66,000","5,318",3.2,7.3,2.4,1.661,0.334,180,"4,967"
152,능곡하수처리시설,2019-08-01,맑음,25.8,26.8,181.2,83.2,140.0,37.943,4.414,"66,000","5,109",3.8,9.2,2.9,2.143,0.223,180,"4,698"
151,능곡하수처리시설,2019-08-02,맑음,27.6,27.2,251.4,81.8,157.5,41.947,4.873,"143,000","5,680",4.0,7.5,2.1,2.623,0.281,150,"5,099"
150,능곡하수처리시설,2019-08-03,맑음,28.8,28.7,208.2,84.1,162.5,28.277,5.845,"187,000","5,425",6.3,11.3,2.4,1.918,0.373,180,"4,580"
149,능곡하수처리시설,2019-08-04,맑음,28.7,27.8,178.2,86.1,122.5,9.841,4.337,"99,000","4,149",5.7,12.1,3.2,1.894,0.545,130,"3,916"
148,능곡하수처리시설,2019-08-05,맑음,29.9,27.3,231.6,118.4,92.5,31.496,5.929,"143,000","4,258",4.2,11.6,2.4,1.174,0.432,180,"4,040"
147,능곡하수처리시설,2019-08-06,맑음,31.4,27.5,235.8,75.0,92.5,57.722,5.689,"176,000","5,415",5.1,8.2,2.7,2.172,0.648,200,"4,492"
146,능곡하수처리시설,2019-08-07,비,27.9,28,295.2,104.1,167.5,38.899,3.892,"77,000","4,533",5.8,10.1,2.5,2.003,0.431,150,"4,118"
145,능곡하수처리시설,2019-08-08,맑음,28,27.9,336.0,104.1,160.0,70.039,6.786,"143,000","5,109",4.2,10.3,2.5,1.790,0.658,180,"4,171"
144,능곡하수처리시설,2019-08-09,맑음,28.9,27.7,163.2,89.1,107.5,35.331,5.448,"132,000","4,985",4.4,10.9,3.2,1.970,1.620,220,"4,403"
143,능곡하수처리시설,2019-08-10,맑음,31.4,27.5,148.8,97.5,112.5,19.105,5.477,"165,000","4,361",5.2,9.8,3.4,0.720,0.594,260,"4,032"
142,능곡하수처리시설,2019-08-11,비,30.3,27.6,243.0,77.4,107.5,29.302,5.158,"132,000","5,007",4.4,9.3,2.8,0.675,0.805,220,"3,976"
141,능곡하수처리시설,2019-08-12,비,26.2,26.2,185.4,71.8,100.0,60.850,7.667,"121,000","6,136",8.5,10.8,3.5,2.097,1.098,220,"4,973"
140,능곡하수처리시설,2019-08-13,비,27.5,27.8,175.2,118.8,185.0,45.003,5.419,"110,000","6,052",2.7,11.0,4.1,1.144,0.711,350,"4,817"
139,능곡하수처리시설,2019-08-14,비,29.5,27.1,214.8,92.3,182.5,38.639,4.738,"66,000","5,796",5.4,10.4,4.2,0.590,0.709,220,"4,482"
138,능곡하수처리시설,2019-08-15,비,26.3,27.2,114.6,64.4,105.0,53.552,3.755,"176,000","5,754",3.9,11.7,3.5,0.511,0.624,350,"4,608"
137,능곡하수처리시설,2019-08-16,비,25.9,26.9,163.2,98.7,55.0,33.311,4.225,"132,000","4,180",3.6,11.2,2.4,0.523,0.833,200,"3,865"
136,능곡하수처리시설,2019-08-17,비,25.9,27.7,214.8,98.7,127.5,36.960,5.847,"187,000","4,395",5.7,10.4,2.5,0.558,0.686,240,"4,241"
135,능곡하수처리시설,2019-08-18,흐림,25.6,27.6,262.2,101.3,120.0,35.264,5.402,"99,000","5,343",3.7,10.9,2.4,0.632,0.637,220,"4,269"
134,능곡하수처리시설,2019-08-19,맑음,26.3,27.4,202.8,98.5,147.5,33.002,5.463,"88,000","4,635",3.7,9.8,2.5,0.541,0.740,260,"4,020"
133,능곡하수처리시설,2019-08-20,흐림,28.2,27.3,178.8,88.9,110.0,46.829,5.573,"154,000","4,802",4.0,11.3,4.0,0.726,1.256,330,"4,289"
132,능곡하수처리시설,2019-08-21,비,27,27.3,177.6,95.5,192.5,26.417,5.698,"154,000","4,708",6.2,12.2,2.9,0.751,1.096,330,"4,128"
131,능곡하수처리시설,2019-08-22,맑음,26.9,27.5,202.8,94.3,162.5,46.066,5.529,"154,000","5,513",4.1,10.6,3.8,0.721,1.017,200,"4,618"
130,능곡하수처리시설,2019-08-23,흐림,26.2,27.8,198.0,111.7,87.5,14.903,6.065,"220,000","4,660",5.6,11.6,2.6,0.454,1.036,310,"3,984"
129,능곡하수처리시설,2019-08-24,맑음,25.9,26.7,261.0,102.9,140.0,8.586,2.872,"198,000","4,827",3.4,10.1,3.4,1.699,0.543,260,"4,307"
128,능곡하수처리시설,2019-08-25,맑음,25.9,27.5,261.6,119.0,177.5,9.336,2.668,"198,000","4,692",5.2,12.2,4.0,1.741,0.866,200,"4,139"
127,능곡하수처리시설,2019-08-26,맑음,25.6,27.6,255.6,108.5,77.5,11.285,3.317,"176,000","5,167",4.9,13.1,2.2,1.477,0.827,260,"4,164"
126,능곡하수처리시설,2019-08-27,비,26.3,27.5,167.4,87.1,135.0,26.240,5.460,"154,000","4,598",6.1,9.6,2.5,0.951,0.759,400,"3,984"
125,능곡하수처리시설,2019-08-28,흐림,28.2,27.3,193.2,91.9,162.5,19.082,4.045,"154,000","4,772",5.5,11.4,4.9,0.431,0.919,350,"4,310"
124,능곡하수처리시설,2019-08-29,비,27,27.4,190.2,96.9,165.0,12.422,5.059,"220,000","4,961",4.3,10.8,4.5,1.005,0.476,310,"4,422"
